step,paths_init,samples_init,paths_truncated,samples_update,paths_update,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,train_score,eval_score,avg_eval_score
78,160,160000,0,160000,160,4723.568929730682,164.3114055463435,5069.900773942471,4052.0821138620377,1.9700642,0.02,0.009049415588378906,0.3615744113922119,0.0057883076,0.008201182,4601.4781150665995,4723.568929730682,4977.265529732706,4545.379814186653
79,160,160000,3,158119,160,4671.754103571502,534.9792684537355,5128.099837601185,179.38473775982857,1.5240828,0.02,0.00921630859375,0.3565099239349365,0.0063967956,0.017669456,4608.505713917089,4671.754103571502,4977.265529732706,4545.379814186653
80,160,160000,3,158323,160,4702.688989002281,466.4756670444383,5138.33969938755,1070.5954576656222,2.0355065,0.02,0.009254932403564453,0.3588900566101074,0.005501911,0.0058656037,4617.924041425609,4702.688989002281,4977.265529732706,4545.379814186653
81,160,160000,2,158576,160,4697.935709304735,523.3875939895919,5088.542644649744,843.3401953727007,1.2963642,0.02,0.009118080139160156,0.3595256805419922,0.007250206,0.029473843,4625.925208213523,4697.935709304735,4977.265529732706,4545.379814186653
82,160,160000,3,159585,160,4737.1274835793065,217.56455242013897,5156.0244721621275,3182.0032501518726,1.7417253,0.02,0.009324073791503906,0.3624911308288574,0.0060239066,0.006495364,4637.045435750101,4737.1274835793065,4977.265529732706,4545.379814186653
83,160,160000,2,159570,160,4713.00671545947,477.21159650823444,5110.258177742362,974.7561162561178,1.1976182,0.02,0.00928354263305664,0.36180567741394043,0.0071959035,0.029941827,4644.641563721038,4713.00671545947,4977.265529732706,4545.379814186653
84,160,160000,2,158666,160,4714.053064981499,444.5160285408973,5210.132342666388,1300.7424383461475,1.6059766,0.02,0.009112834930419922,0.35936594009399414,0.0062296223,0.0095510855,4651.582713847085,4714.053064981499,4977.265529732706,4545.379814186653
85,160,160000,2,159487,160,4777.911736784852,249.65344505522896,5183.754457205534,2573.260842114687,1.9443139,0.02,0.009112119674682617,0.35982441902160645,0.005472714,0.008923542,4664.215616140862,4777.911736784852,4977.265529732706,4545.379814186653
86,160,160000,2,159031,160,4752.064884046651,394.14411632684323,5103.674853861332,380.44991540908813,1.9276005,0.02,0.009386062622070312,0.35910487174987793,0.0058166697,0.008834526,4673.000542931441,4752.064884046651,4977.265529732706,4545.379814186653
87,160,160000,5,157487,160,4690.971957510989,617.9986106398062,5193.728826493025,309.1634052991867,1.448246,0.02,0.009038925170898438,0.3561890125274658,0.007025431,0.017763937,4674.797684389396,4690.971957510989,4977.265529732706,4545.379814186653
88,160,160000,1,159279,160,4776.625203243876,337.17916924463,5168.878908097744,957.3603473007679,1.3899747,0.02,0.009701728820800781,0.3610866069793701,0.006324464,0.0056768954,4684.980436274844,4776.625203243876,4977.265529732706,4545.379814186653
89,160,160000,1,159933,160,4798.416811509919,172.68191134392742,5144.364851176739,4336.120887354016,2.2332013,0.02,0.00918436050415039,0.3619043827056885,0.005361518,0.0076854266,4696.324073798351,4798.416811509919,4977.265529732706,4545.379814186653
90,160,160000,3,157807,160,4745.287963672332,566.9843645001838,5324.131702303886,94.6491214632988,1.1580137,0.02,0.009145259857177734,0.35370469093322754,0.0073188185,0.023262568,4701.220462785749,4745.287963672332,4977.265529732706,4545.379814186653
91,160,160000,2,158532,160,4737.699362763832,612.4293436580996,5176.614305704832,-38.04744113236666,1.3649617,0.02,0.009126424789428711,0.3610091209411621,0.0068322984,0.021036483,4704.868352783557,4737.699362763832,4977.265529732706,4545.379814186653
92,160,160000,4,157098,160,4703.511562689882,623.5421128722317,5311.974430352449,220.32086488604546,1.8062315,0.02,0.009207010269165039,0.35857415199279785,0.006142588,0.009775251,4704.73267377419,4703.511562689882,4977.265529732706,4545.379814186653
93,160,160000,2,158124,160,4749.520399785508,625.8221759289523,5211.104828327894,-171.7986650466919,1.6558652,0.02,0.00943136215209961,0.3591184616088867,0.006375502,0.011267129,4709.211446375321,4749.520399785508,4977.265529732706,4545.379814186653
94,160,160000,3,158839,160,4722.208321956033,605.6328179079588,5213.181999981403,-97.24708293378353,1.2511023,0.02,0.00908803939819336,0.35759425163269043,0.006982396,0.02540536,4710.511133933393,4722.208321956033,4977.265529732706,4545.379814186653
95,160,160000,2,159616,160,4790.512933226069,227.84559429393136,5124.170306175947,3552.9845107644796,1.3771615,0.02,0.009238958358764648,0.363452672958374,0.0065600756,0.007740289,4718.511313862661,4790.512933226069,4977.265529732706,4545.379814186653
96,160,160000,0,160000,160,4812.300403350312,243.33879715614566,5175.9079272300005,2518.329988874495,1.5233145,0.02,0.009083032608032227,0.35950446128845215,0.006335864,0.011766065,4727.890222811426,4812.300403350312,4977.265529732706,4545.379814186653
97,160,160000,1,159521,160,4808.584013497503,266.4870360979479,5179.335130572319,2215.1046766638756,2.1142364,0.02,0.009230852127075195,0.360703706741333,0.006005055,0.0095795095,4735.959601880034,4808.584013497503,4977.265529732706,4545.379814186653
98,160,160000,0,160000,160,4856.95229387763,170.33283073923013,5210.586599886417,4408.361424386501,2.3266828,0.02,0.009185314178466797,0.359771728515625,0.0048513724,0.0071634874,4748.058871079794,4856.95229387763,4977.265529732706,4545.379814186653
99,160,160000,3,159684,160,4849.398686598148,207.64806260443126,5265.409692436457,3947.3455531448126,1.80005,0.02,0.009065389633178711,0.36380743980407715,0.0060329204,0.012380179,4758.19285263163,4849.398686598148,4977.265529732706,4545.379814186653
100,160,160000,4,158047,160,4783.547631042637,581.4146509396724,5220.075693637133,671.186557084322,1.6827965,0.02,0.008968591690063477,0.3605639934539795,0.006575303,0.01870134,4760.728330472731,4783.547631042637,5440.7244931781315,4769.215983934522
101,160,160000,5,156963,160,4729.939976411173,743.3241715140658,5250.331410229206,136.60947051644325,1.4780694,0.02,0.009043693542480469,0.35585570335388184,0.0064626266,0.014707789,4757.649495066575,4729.939976411173,5440.7244931781315,4769.215983934522
102,160,160000,5,158181,160,4781.106468542805,614.5195662383558,5252.912594735622,-152.13698303699493,1.7258078,0.02,0.009193897247314453,0.3589503765106201,0.00636608,0.009010425,4759.995192414198,4781.106468542805,5440.7244931781315,4769.215983934522
103,160,160000,1,159695,160,4867.612640595622,229.4685263399797,5248.742221415043,2947.4770418852568,1.8179046,0.02,0.009345531463623047,0.36255407333374023,0.005793199,0.004640814,4770.7569372323405,4867.612640595622,5440.7244931781315,4769.215983934522
104,160,160000,7,155121,160,4711.699484575353,809.0271603963187,5227.323401808739,-63.26093375682831,1.7818354,0.02,0.009106636047363281,0.3546020984649658,0.0056721857,0.0026514046,4764.851191966643,4711.699484575353,5440.7244931781315,4769.215983934522
105,160,160000,8,154919,160,4713.510480909235,813.1063656176472,5263.6133733689785,44.380948185920715,1.7720734,0.02,0.009104490280151367,0.3504211902618408,0.0057365475,0.010370169,4759.717120860902,4713.510480909235,5440.7244931781315,4769.215983934522
106,160,160000,4,158321,160,4842.005457246397,473.1833913916821,5315.289459973574,684.6016230583191,1.9799188,0.02,0.009008407592773438,0.3614010810852051,0.0058175675,0.006581826,4767.945954499452,4842.005457246397,5440.7244931781315,4769.215983934522
107,160,160000,7,157928,160,4832.943036577339,470.1476733215207,5287.49488312006,927.5426673591137,1.5682261,0.02,0.00968170166015625,0.3540382385253906,0.0060143727,0.008210793,4774.44566270724,4832.943036577339,5440.7244931781315,4769.215983934522
108,160,160000,9,156058,160,4781.907944338117,654.6098879595172,5310.714211374521,-76.6061381995678,1.6119398,0.02,0.009231090545654297,0.35302090644836426,0.005731601,0.006037712,4775.191890870328,4781.907944338117,5440.7244931781315,4769.215983934522
109,160,160000,4,158262,160,4837.759192615701,449.32454117340836,5267.001638412476,680.8023428022861,1.9666092,0.02,0.009955644607543945,0.3590207099914551,0.0059976615,0.0073841717,4781.448621044866,4837.759192615701,5440.7244931781315,4769.215983934522
110,160,160000,2,159134,160,4862.37478289199,450.8825252598544,5439.051285326481,1154.7427041828632,1.7321446,0.02,0.00960397720336914,0.3592231273651123,0.0064631263,0.015052725,4789.541237229579,4862.37478289199,5440.7244931781315,4769.215983934522
